UID,Institution,Applican ID,PEP,Criminal,Expected employment key,Expected occupation key
23150,CAYMAN,13493,NULL,NULL,C,047
23195,CAYMAN,13538,NULL,NULL,C,009
23212,CAYMAN,13555,NULL,NULL,C,055
23222,CAYMAN,13565,NULL,NULL,C,047
23237,CAYMAN,13580,NULL,NULL,C,062
23250,CAYMAN,13593,NULL,NULL,C,047
23262,CAYMAN,13605,NULL,NULL,C,047
23286,CAYMAN,13629,NULL,NULL,C,059
23292,CAYMAN,13635,NULL,NULL,C,001
23508,CAYMAN,13851,NULL,NULL,C,003
23539,CAYMAN,13882,NULL,NULL,C,062
23556,CAYMAN,13899,NULL,NULL,C,027
23565,CAYMAN,13908,NULL,NULL,C,047
23570,CAYMAN,13913,NULL,NULL,C,055
23645,CAYMAN,13988,NULL,NULL,C,031
23703,CAYMAN,14046,NULL,NULL,C,003
23815,CAYMAN,14158,NULL,NULL,C,055
23827,CAYMAN,14170,NULL,NULL,C,055
23861,CAYMAN,14204,NULL,NULL,C,053
23919,CAYMAN,14262,NULL,NULL,C,047
23920,CAYMAN,14263,NULL,NULL,C,047
23921,CAYMAN,14264,NULL,NULL,C,047
23922,CAYMAN,14265,NULL,NULL,C,047
23940,CAYMAN,14283,NULL,NULL,C,003
24004,CAYMAN,14347,NULL,NULL,C,047
24036,CAYMAN,14379,NULL,NULL,C,009
24103,CAYMAN,14446,NULL,NULL,C,055
24120,CAYMAN,14463,NULL,NULL,C,059
24200,CAYMAN,14543,NULL,NULL,C,066
24207,CAYMAN,14550,NULL,NULL,C,004
24302,CAYMAN,14645,NULL,NULL,C,047
24315,CAYMAN,14658,NULL,NULL,C,003
24325,CAYMAN,14668,NULL,NULL,C,003
24462,CAYMAN,14805,NULL,NULL,C,057
24465,CAYMAN,14808,NULL,NULL,C,057
24478,CAYMAN,14821,NULL,NULL,C,047
24487,TW,14830,NULL,NULL,C,062
24502,CAYMAN,14845,NULL,NULL,C,047
24523,CAYMAN,14866,NULL,NULL,C,058
24572,TW,14915,NULL,NULL,C,031
24617,CAYMAN,14960,NULL,NULL,C,027
24622,CAYMAN,14965,NULL,NULL,C,047
